"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",38.83851,18.2,161,1,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-17,"13_45"
"2",2,"Z0120C0","市高往東  中華承德",70.14625,6.7,256,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-17,"13_45"
"3",3,"Z0130A0","市高往東  承德中山",71.90196,8.866667,306.5,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-17,"13_45"
"4",4,"Z0130A1","市高往東  中山林森",73.3045,8.266666,289,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-17,"13_45"
"5",5,"Z0140C0","市高往東  新生建國",71.606834,10.6,234,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-17,"13_45"
"6",6,"Z0140C1","市高往東  建國復興",66.14616,12.6,275,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-17,"13_45"
"7",7,"Z0150C0","市高往東  復興敦化",64.802,14.866666,401.5,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-17,"13_45"
"8",8,"Z0150C1","市高往東  敦化上方",69.80975,3.1333334,207,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-17,"13_45"
"9",9,"Z0150C2","市高往東  敦化延吉",70.18771,8.333333,293,1,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-17,"13_45"
"10",10,"Z0160C0","市高往東  延吉永吉",71.820274,8.9,217,1,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-17,"13_45"
"11",11,"Z0380F0","正氣橋  麥一市民",70.625,3.9,88.5,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-17,"13_45"
"12",12,"Z0390G0","市高往西  永吉光復",64.8022,12.5,273,0,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-05-17,"13_45"
"13",13,"Z03A0G1","市高往西  光復延吉",53.938774,21.3,344,1,121.567512021271,25.0458909827904,121.557667048171,25.0454680148637,2016-05-17,"13_45"
"14",14,"Z03B0G0","市高往西  延吉復興",78.32039,6.8,313.5,0,121.557667048171,25.0454680148637,121.536126020332,25.0450250384754,2016-05-17,"13_45"
"15",15,"Z03C0G0","市高往西  復興建國",59.36237,9.1,293,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-17,"13_45"
"16",16,"Z03C0G1","市高往西  建國新生",71.26667,10.5,240,1,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-17,"13_45"
"17",17,"Z03D0G0","市高往西  新生林森",67.282295,3.8666663,211,0,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-17,"13_45"
"18",18,"Z03D0G1","市高往西  林森中山",59.19805,14.333333,313,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-17,"13_45"
"19",19,"Z03E0G0","市高往西  承德重慶",54.13298,13,190.5,2,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-17,"13_45"
"20",20,"Z03E0G1","市高往西  重慶中華",50.495453,12.4,221.5,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-17,"13_45"
"21",21,"Z5062G0","市高往西  中華環河",48,13,115,1,121.507228991091,25.0510220354424,121.497868957546,25.0400649616175,2016-05-17,"13_45"
"22",22,"Z1001B0","建國快往北 辛亥高架接建高",94.6,2.7,80.5,0,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-05-17,"13_45"
"23",23,"Z1010A0","建國快往北 辛亥信義",75.73575,7.3333335,212,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-17,"13_45"
"24",24,"Z1010A1","建國快往北 和平信義",80.951805,8.2,262.5,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-17,"13_45"
"25",25,"Z1011A0","建國快往北 信義路上匝道",48.527027,9,74.5,0,121.537818032218,25.0344000079271,121.53806600958,25.0355689692847,2016-05-17,"13_45"
"26",26,"Z1020A0","建國快往北 信義仁愛",66.12829,9.533334,304,0,121.53806600958,25.0355689692847,121.537962958846,25.0357070206232,2016-05-17,"13_45"
"27",27,"Z1030A0","建國快往北 仁愛忠孝",56.702587,10.666667,236,0,121.537962958846,25.0357070206232,121.53712002298,25.0420240374186,2016-05-17,"13_45"
"28",28,"Z1040A0","建國快往北 忠孝長安",62.472828,16.666668,403,0,121.53712002298,25.0420240374186,121.536836031321,25.0460820090283,2016-05-17,"13_45"
"29",29,"Z1050A0","建國快往北 南京東路",68.45865,6.533333,268,0,121.537031988413,25.0497290015224,121.536885031022,25.0495280262993,2016-05-17,"13_45"
"30",30,"Z1060A0","建國快往北 南京民權",71.25714,11.333333,321,0,121.536885031022,25.0495280262993,121.537105027258,25.061757993861,2016-05-17,"13_45"
"31",31,"Z1070A0","建國快往北 民權民族",69.78233,20.6,368.5,0,121.537105027258,25.061757993861,121.534361045097,25.0672949565866,2016-05-17,"13_45"
"32",32,"Z1080A0","建國快往北 民族濱江",70.264,7.3,126.5,0,121.534361045097,25.0672949565866,121.533422973875,25.0689429692608,2016-05-17,"13_45"
"33",33,"Z10D2A0","建國快往北 民權東路下匝道",57.05128,8,78.5,0,121.537105027258,25.061757993861,121.537488045992,25.06147096043,2016-05-17,"13_45"
"34",34,"Z10E2A0","建國快往北 南京東路下匝道",51.445946,7.4,74,0,121.537031988413,25.0497290015224,121.537171960091,25.050782973455,2016-05-17,"13_45"
"35",35,"Z1210E0","建國快往南 濱江民權",28.184834,36.2,241.5,1,121.533418991878,25.0689390112276,121.53435399476,25.0672920027059,2016-05-17,"13_45"
"36",36,"Z1220E0","建國快往南 民權東路",73.92453,10.8,216,0,121.53435399476,25.0672920027059,121.536693985588,25.0612780140168,2016-05-17,"13_45"
"37",37,"Z1221E0","建國快往南 民權上匝道",39.584415,10,77,0,121.536437036293,25.0617689851535,121.536693985588,25.0612780140168,2016-05-17,"13_45"
