"","_id","SectionId","SectionName","AvgSpd","AvgOcc","TotalVol","MOELevel","StartWgsX","StartWgsY","EndWgsX","EndWgsY","date","time"
"1",1,"Z0111C0","市高往東  環河中華",56.688526,6.8,61.5,0,121.506955002167,25.0499479957493,121.507057986923,25.0504089798186,2016-05-13,"05_40"
"2",2,"Z0120C0","市高往東  中華承德",65.66216,2.4,75,1,121.507057986923,25.0504089798186,121.514669994797,25.0488470329132,2016-05-13,"05_40"
"3",3,"Z0130A0","市高往東  承德中山",75.234566,2.2666667,81,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-13,"05_40"
"4",4,"Z0130A1","市高往東  中山林森",78.30666,1.7999998,75,0,121.514669994797,25.0488470329132,121.530466977389,25.0458740396192,2016-05-13,"05_40"
"5",5,"Z0140C0","市高往東  新生建國",78.8125,2.3,64,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-13,"05_40"
"6",6,"Z0140C1","市高往東  建國復興",74.554054,2.5,74.5,0,121.530466977389,25.0458740396192,121.536157036992,25.0443180284222,2016-05-13,"05_40"
"7",7,"Z0150C0","市高往東  復興敦化",74.329414,2.4,85,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-13,"05_40"
"8",8,"Z0150C1","市高往東  敦化上方",60.294117,0.06666667,17,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-13,"05_40"
"9",9,"Z0150C2","市高往東  敦化延吉",73.402985,1.7333333,67,0,121.536157036992,25.0443180284222,121.557631047561,25.0447609827095,2016-05-13,"05_40"
"10",10,"Z0160C0","市高往東  延吉永吉",76.12963,1.7,54,0,121.557631047561,25.0447609827095,121.569229955283,25.0455460393449,2016-05-13,"05_40"
"11",11,"Z0380F0","正氣橋  麥一市民",73,0.5,4,0,121.569772042499,25.0461890146634,121.569771009262,25.0459439976653,2016-05-13,"05_40"
"12",12,"Z0390G0","市高往西  永吉光復",72.08572,1.4,35,0,121.569771009262,25.0459439976653,121.567512021271,25.0458909827904,2016-05-13,"05_40"
"13",13,"Z03A0G1","市高往西  光復延吉",76.297874,1.7,47,0,121.567512021271,25.0458909827904,121.557667048171,25.0454680148637,2016-05-13,"05_40"
"14",14,"Z03B0G0","市高往西  延吉復興",83.54054,0.6,37.5,0,121.557667048171,25.0454680148637,121.536126020332,25.0450250384754,2016-05-13,"05_40"
"15",15,"Z03C0G0","市高往西  復興建國",70.333336,0.7,36,0,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-13,"05_40"
"16",16,"Z03C0G1","市高往西  建國新生",79.97143,1.3,35,0,121.536126020332,25.0450250384754,121.530571036066,25.0465189949323,2016-05-13,"05_40"
"17",17,"Z03D0G0","市高往西  新生林森",64.07407,0.13333334,27,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-13,"05_40"
"18",18,"Z03D0G1","市高往西  林森中山",72.88372,1,43,1,121.530571036066,25.0465189949323,121.515177951736,25.0495210244858,2016-05-13,"05_40"
"19",19,"Z03E0G0","市高往西  承德重慶",71.75676,1.5,37.5,1,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-13,"05_40"
"20",20,"Z03E0G1","市高往西  重慶中華",69.5814,1.6,43,0,121.515177951736,25.0495210244858,121.507228991091,25.0510220354424,2016-05-13,"05_40"
"21",21,"Z5062G0","市高往西  中華環河",55,2,18.5,0,121.507228991091,25.0510220354424,121.497868957546,25.0400649616175,2016-05-13,"05_40"
"22",22,"Z1001B0","建國快往北 辛亥高架接建高",100.833336,0.4,12.5,0,121.536995038696,25.0228289705983,121.53770600753,25.0229289599307,2016-05-13,"05_40"
"23",23,"Z1010A0","建國快往北 辛亥信義",85.07937,2.6666667,69,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-13,"05_40"
"24",24,"Z1010A1","建國快往北 和平信義",94.265625,2,72,0,121.53770600753,25.0229289599307,121.53806600958,25.0355689692847,2016-05-13,"05_40"
"25",25,"Z1011A0","建國快往北 信義路上匝道",55.727272,1.25,11,0,121.537818032218,25.0344000079271,121.53806600958,25.0355689692847,2016-05-13,"05_40"
"26",26,"Z1020A0","建國快往北 信義仁愛",70.05173,1.4666666,58,0,121.53806600958,25.0355689692847,121.537962958846,25.0357070206232,2016-05-13,"05_40"
"27",27,"Z1030A0","建國快往北 仁愛忠孝",69.51724,2.0666668,58.5,0,121.537962958846,25.0357070206232,121.53712002298,25.0420240374186,2016-05-13,"05_40"
"28",28,"Z1040A0","建國快往北 忠孝長安",82.64789,2.733333,85.5,0,121.53712002298,25.0420240374186,121.536836031321,25.0460820090283,2016-05-13,"05_40"
"29",29,"Z1050A0","建國快往北 南京東路",79.81159,1,70,0,121.537031988413,25.0497290015224,121.536885031022,25.0495280262993,2016-05-13,"05_40"
"30",30,"Z1060A0","建國快往北 南京民權",84.81333,2.4666667,78.5,0,121.536885031022,25.0495280262993,121.537105027258,25.061757993861,2016-05-13,"05_40"
"31",31,"Z1070A0","建國快往北 民權民族",81.19768,4.4,97,0,121.537105027258,25.061757993861,121.534361045097,25.0672949565866,2016-05-13,"05_40"
"32",32,"Z1080A0","建國快往北 民族濱江",99.09091,1,22,0,121.534361045097,25.0672949565866,121.533422973875,25.0689429692608,2016-05-13,"05_40"
"33",33,"Z10D2A0","建國快往北 民權東路下匝道",60.57895,2,19.5,0,121.537105027258,25.061757993861,121.537488045992,25.06147096043,2016-05-13,"05_40"
"34",34,"Z10E2A0","建國快往北 南京東路下匝道",72.666664,0.8,12,0,121.537031988413,25.0497290015224,121.537171960091,25.050782973455,2016-05-13,"05_40"
"35",35,"Z1210E0","建國快往南 濱江民權",70.95385,4.8,69.5,0,121.533418991878,25.0689390112276,121.53435399476,25.0672920027059,2016-05-13,"05_40"
"36",36,"Z1220E0","建國快往南 民權東路",76.583336,3.2,62,0,121.53435399476,25.0672920027059,121.536693985588,25.0612780140168,2016-05-13,"05_40"
